f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
Evaluation Reward at Epoch 170. Obs: -0.989, Exp: -17.3
Evaluation Reward at Epoch 171. Obs: -0.989, Exp: -17.1
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 172. Obs: -0.992, Exp: -9.4
Evaluation Reward at Epoch 173. Obs: -0.992, Exp: -17.5
Evaluation Reward at Epoch 174. Obs: -0.992, Exp: -17.8
Evaluation Reward at Epoch 175. Obs: -0.989, Exp: -17.7
Evaluation Reward at Epoch 176. Obs: -0.989, Exp: -17.4
Evaluation Reward at Epoch 177. Obs: -0.994, Exp: -9.0
Evaluation Reward at Epoch 178. Obs: -0.992, Exp: -9.3
Evaluation Reward at Epoch 179. Obs: -0.992, Exp: -9.2
Evaluation Reward at Epoch 180. Obs: -0.992, Exp: -17.7
Evaluation Reward at Epoch 181. Obs: -0.989, Exp: -8.9
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 182. Obs: -0.994, Exp: -17.2
Evaluation Reward at Epoch 183. Obs: -0.992, Exp: -9.0
Evaluation Reward at Epoch 184. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 185. Obs: -0.994, Exp: -17.7
Evaluation Reward at Epoch 186. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 187. Obs: -0.992, Exp: -17.3
Evaluation Reward at Epoch 188. Obs: -0.989, Exp: -17.5
Evaluation Reward at Epoch 189. Obs: -0.992, Exp: -17.7
Evaluation Reward at Epoch 190. Obs: -0.992, Exp: -17.4
Evaluation Reward at Epoch 191. Obs: -0.992, Exp: -17.6
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 192. Obs: -0.989, Exp: -9.0
Evaluation Reward at Epoch 193. Obs: -0.992, Exp: -17.7
Evaluation Reward at Epoch 194. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 195. Obs: -0.994, Exp: -17.8
Evaluation Reward at Epoch 196. Obs: -0.989, Exp: -17.4
Evaluation Reward at Epoch 197. Obs: -0.994, Exp: -17.7
Evaluation Reward at Epoch 198. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 199. Obs: -0.989, Exp: -17.3
Evaluation Reward at Epoch 200. Obs: -0.989, Exp: -9.0
Evaluation Reward at Epoch 201. Obs: -0.992, Exp: -8.9
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 202. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 203. Obs: -0.986, Exp: -17.6
Evaluation Reward at Epoch 204. Obs: -0.992, Exp: -9.1
Evaluation Reward at Epoch 205. Obs: -0.994, Exp: -17.6
Evaluation Reward at Epoch 206. Obs: -0.992, Exp: -9.2
Evaluation Reward at Epoch 207. Obs: -0.992, Exp: -9.1
Evaluation Reward at Epoch 208. Obs: -0.989, Exp: -9.2
Evaluation Reward at Epoch 209. Obs: -0.992, Exp: -9.2
Evaluation Reward at Epoch 210. Obs: -0.992, Exp: -9.2
Evaluation Reward at Epoch 211. Obs: -0.989, Exp: -9.1
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 212. Obs: -0.992, Exp: -9.0
Evaluation Reward at Epoch 213. Obs: -0.989, Exp: -17.5
Evaluation Reward at Epoch 214. Obs: -0.989, Exp: -17.7
Evaluation Reward at Epoch 215. Obs: -0.994, Exp: -17.7
Evaluation Reward at Epoch 216. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 217. Obs: -0.989, Exp: -17.7
Evaluation Reward at Epoch 218. Obs: -0.994, Exp: -17.8
Evaluation Reward at Epoch 219. Obs: -0.992, Exp: -17.8
Evaluation Reward at Epoch 220. Obs: -0.992, Exp: -9.1
Evaluation Reward at Epoch 221. Obs: -0.992, Exp: -17.6
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 222. Obs: -0.989, Exp: -17.4
Evaluation Reward at Epoch 223. Obs: -0.992, Exp: -9.1
Evaluation Reward at Epoch 224. Obs: -0.992, Exp: -9.0
Evaluation Reward at Epoch 225. Obs: -0.986, Exp: -9.1
Evaluation Reward at Epoch 226. Obs: -0.992, Exp: -9.1
Evaluation Reward at Epoch 227. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 228. Obs: -0.989, Exp: -9.1
wandb: WARNING Calling wandb.login() after wandb.init() has no effect.
c:\Users\Dickson Lim\anaconda3\lib\site-packages\wandb\sdk\lib\ipython.py:70: DeprecationWarning: Importing display from IPython.core.display is deprecated since IPython 7.14, please import from IPython display
  from IPython.core.display import HTML, display  # type: ignore
